Cmplx_smiles_neutral_std,Lg K1
O=S(=O)([O-])[O-].[Lu+3], 1.29
O=S(=O)([O-])[O-].[Sc+3], 2.59
O=S(=O)([O-])[O-].[Sc+3], 1.66
O=S(=O)([O-])[O-].[Y+3], 1.24
NC(=O)CC(N)C(=O)O.[Ce+3], 3.52
NC(=O)CC(N)C(=O)O.[Ce+3], 5.14
NC(=O)CC(N)C(=O)O.[Pr+3], 3.5
NC(=O)CC(N)C(=O)O.[Y+3], 5.46
NC(=O)CC[C@H](N)C(=O)O.[Ce+3], 3.72
NC(=O)CC[C@H](N)C(=O)O.[Pr+3], 3.45
[Br-].[Ce+3], -0.2
[Br-].[Eu+3], -0.2
[Br-].[Eu+3], 0.21
[Br-].[Sc+3], 1.21
[Br-].[Y+3], -0.15
[Br-].[Y+3], 0.45
[Eu+3].[I-], -0.3
[Eu+3].[I-], 0.24
NC(CC(=O)O)C(=O)O.[La+3], 5.61
NC(CC(=O)O)C(=O)O.[La+3], 5.3
NC(CC(=O)O)C(=O)O.[La+3], 5.3
NC(CC(=O)O)C(=O)O.[La+3], 5
NC(CC(=O)O)C(=O)O.[Ce+3], 5.77
NC(CC(=O)O)C(=O)O.[Ce+3], 8.7
NC(CC(=O)O)C(=O)O.[Ce+3], 5.72
NC(CC(=O)O)C(=O)O.[Ce+3], 5.72
NC(CC(=O)O)C(=O)O.[Ce+3], 2.08
NC(CC(=O)O)C(=O)O.[Ce+3], 5.2
NC(CC(=O)O)C(=O)O.[Pr+3], 5.9
NC(CC(=O)O)C(=O)O.[Pr+3], 5.48
NC(CC(=O)O)C(=O)O.[Pr+3], 5.47
NC(CC(=O)O)C(=O)O.[Pr+3], 5.2
NC(CC(=O)O)C(=O)O.[Pr+3], 5.48
NC(CC(=O)O)C(=O)O.[Pr+3], 5.4
NC(CC(=O)O)C(=O)O.[Nd+3], 6.04
NC(CC(=O)O)C(=O)O.[Nd+3], 5.52
NC(CC(=O)O)C(=O)O.[Nd+3], 5.62
NC(CC(=O)O)C(=O)O.[Nd+3], 5.36
NC(CC(=O)O)C(=O)O.[Nd+3], 5.62
NC(CC(=O)O)C(=O)O.[Nd+3], 5.5
NC(CC(=O)O)C(=O)O.[Sm+3], 5.89
NC(CC(=O)O)C(=O)O.[Sm+3], 6.16
NC(CC(=O)O)C(=O)O.[Sm+3], 5.89
NC(CC(=O)O)C(=O)O.[Sm+3], 5.89
NC(CC(=O)O)C(=O)O.[Sm+3], 5.55
NC(CC(=O)O)C(=O)O.[Eu+3], 5.62
NC(CC(=O)O)C(=O)O.[Gd+3], 5.65
NC(CC(=O)O)C(=O)O.[Gd+3], 5.65
NC(CC(=O)O)C(=O)O.[Gd+3], 5.65
NC(CC(=O)O)C(=O)O.[Gd+3], 5.74
NC(CC(=O)O)C(=O)O.[Tb+3], 5.8
NC(CC(=O)O)C(=O)O.[Dy+3], 5.85
NC(CC(=O)O)C(=O)O.[Dy+3], 5.61
NC(CC(=O)O)C(=O)O.[Ho+3], 5.91
NC(CC(=O)O)C(=O)O.[Er+3], 6.08
NC(CC(=O)O)C(=O)O.[Er+3], 5.9
NC(CC(=O)O)C(=O)O.[Tm+3], 6.1
NC(CC(=O)O)C(=O)O.[Yb+3], 6.18
NC(CC(=O)O)C(=O)O.[Lu+3], 6.25
NC(CC(=O)O)C(=O)O.[Y+3], 8.42
NC(CC(=O)O)C(=O)O.[Y+3], 4.75
NC(CCC(=O)O)C(=O)O.[Pr+3], 4
NC(CCC(=O)O)C(=O)O.[Nd+3], 5.3
NC(CCC(=O)O)C(=O)O.[Ho+3], 4.57
NC(CCC(=O)O)C(=O)O.[Y+3], 1.6
NCCN.[La+3], 4.88
NCCN.[Gd+3], 5.34
NCCN.[Tb+3], 5.52
NCCN.[Dy+3], 5.63
O=C(O)C(=O)O.[La+3], 4.94
O=C(O)C(=O)O.[La+3], 4.4
O=C(O)C(=O)O.[La+3], 4.47
O=C(O)C(=O)O.[La+3], 4.3
O=C(O)C(=O)O.[Ce+3], 4.5
O=C(O)C(=O)O.[Ce+3], 5.04
O=C(O)C(=O)O.[Pr+3], 5.32
O=C(O)C(=O)O.[Nd+3], 5.39
O=C(O)C(=O)O.[Sm+3], 5.51
O=C(O)C(=O)O.[Eu+3], 4.89
O=C(O)C(=O)O.[Eu+3], 5.6
O=C(O)C(=O)O.[Eu+3], 5.03
O=C(O)C(=O)O.[Eu+3], 4.86
O=C(O)C(=O)O.[Eu+3], 4.77
O=C(O)C(=O)O.[Gd+3], 5.6
O=C(O)C(=O)O.[Tb+3], 5.71
O=C(O)C(=O)O.[Dy+3], 5.82
O=C(O)C(=O)O.[Ho+3], 5.85
O=C(O)C(=O)O.[Er+3], 5.91
O=C(O)C(=O)O.[Tm+3], 5.97
O=C(O)C(=O)O.[Yb+3], 6.03
O=C(O)C(=O)O.[Lu+3], 6.04
O=C(O)C(=O)O.[Lu+3], 5.11
O=C(O)C(=O)O.[Y+3], 5.74
[La+3].c1ccc(-c2ccccn2)nc1, 3.43
[La+3].c1ccc(-c2ccccn2)nc1, 0.8
[Ce+3].c1ccc(-c2ccccn2)nc1, 0.9
[Pr+3].c1ccc(-c2ccccn2)nc1, 0.9
[Nd+3].c1ccc(-c2ccccn2)nc1, 0.9
[Sm+3].c1ccc(-c2ccccn2)nc1, 0.9
[Gd+3].c1ccc(-c2ccccn2)nc1, 3.85
[Gd+3].c1ccc(-c2ccccn2)nc1, 0.8
[Tb+3].c1ccc(-c2ccccn2)nc1, 4.29
[Dy+3].c1ccc(-c2ccccn2)nc1, 4.33
[Dy+3].c1ccc(-c2ccccn2)nc1, 0.9
O=C(O)CO.[La+3], 2.14
O=C(O)CO.[La+3], 3.59
O=C(O)CO.[La+3], 2.13
O=C(O)CO.[La+3], 3.6
O=C(O)CO.[La+3], 5.54
O=C(O)CO.[La+3], 2.27
O=C(O)CO.[Ce+3], 3.67
O=C(O)CO.[Ce+3], 3.63
O=C(O)CO.[Ce+3], 5.83
O=C(O)CO.[Ce+3], 2.3
O=C(O)CO.[Ce+3], 2.27
O=C(O)CO.[Pr+3], 3.75
O=C(O)CO.[Pr+3], 2.39
O=C(O)CO.[Pr+3], 3.71
O=C(O)CO.[Pr+3], 5.8
O=C(O)CO.[Pr+3], 2.49
O=C(O)CO.[Nd+3], 3.87
O=C(O)CO.[Nd+3], 2.46
O=C(O)CO.[Nd+3], 3.83
O=C(O)CO.[Nd+3], 5.35
O=C(O)CO.[Nd+3], 2.15
O=C(O)CO.[Nd+3], 2.54
O=C(O)CO.[Sm+3], 3.96
O=C(O)CO.[Sm+3], 3.92
O=C(O)CO.[Sm+3], 6.08
O=C(O)CO.[Sm+3], 2.54
O=C(O)CO.[Eu+3], 2.44
O=C(O)CO.[Eu+3], 2.69
O=C(O)CO.[Eu+3], 2.55
O=C(O)CO.[Eu+3], 2.52
O=C(O)CO.[Eu+3], 2.45
O=C(O)CO.[Gd+3], 6.18
O=C(O)CO.[Gd+3], 2.46
O=C(O)CO.[Gd+3], 2.52
O=C(O)CO.[Tb+3], 2.72
O=C(O)CO.[Dy+3], 2.48
O=C(O)CO.[Ho+3], 2.46
O=C(O)CO.[Ho+3], 2.49
O=C(O)CO.[Er+3], 2.52
O=C(O)CO.[Er+3], 2.61
O=C(O)CO.[Yb+3], 2.65
O=C(O)CO.[Yb+3], 2.71
O=C(O)CO.[Sc+3], 4.4
O=C(O)CCl.[Ce+3], 0.98
O=C(O)CCl.[Eu+3], 1.08
O=C(O)CCl.[Tm+3], 0.92
CCC(=O)O.[La+3], 1.62
CCC(=O)O.[La+3], 1.53
CCC(=O)O.[Ce+3], 1.67
CCC(=O)O.[Ce+3], 2.18
CCC(=O)O.[Pr+3], 1.78
CCC(=O)O.[Nd+3], 1.93
CCC(=O)O.[Sm+3], 1.98
CCC(=O)O.[Sm+3], 2.02
CCC(=O)O.[Eu+3], 1.98
CCC(=O)O.[Gd+3], 1.84
CCC(=O)O.[Tb+3], 1.73
CCC(=O)O.[Dy+3], 1.63
CCC(=O)O.[Ho+3], 1.62
CCC(=O)O.[Er+3], 1.6
CCC(=O)O.[Tm+3], 1.61
CCC(=O)O.[Yb+3], 1.63
CCC(=O)O.[Lu+3], 1.66
CCC(=O)O.[Sc+3], 3.77
CCC(=O)O.[Y+3], 1.61
CC(=O)O.[La+3], 1.74
CC(=O)O.[La+3], 1.15
CC(=O)O.[La+3], 1.45
CC(=O)O.[Ce+3], 1.7
CC(=O)O.[Pr+3], 1.89
CC(=O)O.[Nd+3], 2.1
CC(=O)O.[Nd+3], 2.07
CC(=O)O.[Nd+3], 1.83
CC(=O)O.[Sm+3], 2
CC(=O)O.[Eu+3], 1.91
CC(=O)O.[Eu+3], 1.79
CC(=O)O.[Eu+3], 1.91
CC(=O)O.[Eu+3], 1.94
CC(=O)O.[Eu+3], 2.11
CC(=O)O.[Eu+3], 1.97
CC(=O)O.[Eu+3], 2.51
CC(=O)O.[Eu+3], 1.9
CC(=O)O.[Gd+3], 1.67
CC(=O)O.[Tb+3], 1.78
CC(=O)O.[Tb+3], 1
CC(=O)O.[Sc+3], 3.48
O=CO.[La+3], 1.11
O=CO.[Sm+3], 1.21
CSCCC(N)C(=O)O.[La+3], 4.86
CSCCC(N)C(=O)O.[La+3], 4.58
CSCCC(N)C(=O)O.[Ce+3], 4.93
CSCCC(N)C(=O)O.[Ce+3], 4.74
CSCCC(N)C(=O)O.[Pr+3], 4.81
CSCCC(N)C(=O)O.[Pr+3], 4.88
CSCCC(N)C(=O)O.[Nd+3], 5.13
CSCCC(N)C(=O)O.[Nd+3], 5.12
CSCCC(N)C(=O)O.[Sm+3], 5.04
CSCCC(N)C(=O)O.[Sm+3], 5.04
CSCCC(N)C(=O)O.[Sm+3], 5.44
CSCCC(N)C(=O)O.[Gd+3], 4.93
CSCCC(N)C(=O)O.[Gd+3], 4.93
CSCCC(N)C(=O)O.[Y+3], 5.72
CC(C)C(N)C(=O)O.[La+3], 5.48
CC(C)C(N)C(=O)O.[La+3], 5.94
CC(C)C(N)C(=O)O.[La+3], 5.94
CC(C)C(N)C(=O)O.[La+3], 5.29
CC(C)C(N)C(=O)O.[La+3], 3.73
CC(C)C(N)C(=O)O.[Ce+3], 5.92
CC(C)C(N)C(=O)O.[Ce+3], 6.05
CC(C)C(N)C(=O)O.[Ce+3], 6.05
CC(C)C(N)C(=O)O.[Ce+3], 5.42
CC(C)C(N)C(=O)O.[Ce+3], 5.02
CC(C)C(N)C(=O)O.[Ce+3], 3.96
CC(C)C(N)C(=O)O.[Pr+3], 6.12
CC(C)C(N)C(=O)O.[Pr+3], 6.28
CC(C)C(N)C(=O)O.[Pr+3], 6.28
CC(C)C(N)C(=O)O.[Pr+3], 5.6
CC(C)C(N)C(=O)O.[Pr+3], 3.92
CC(C)C(N)C(=O)O.[Nd+3], 6.37
CC(C)C(N)C(=O)O.[Nd+3], 6.52
CC(C)C(N)C(=O)O.[Nd+3], 6.52
CC(C)C(N)C(=O)O.[Nd+3], 5.47
CC(C)C(N)C(=O)O.[Nd+3], 3.88
CC(C)C(N)C(=O)O.[Sm+3], 6.47
CC(C)C(N)C(=O)O.[Sm+3], 5.24
CC(C)C(N)C(=O)O.[Sm+3], 6.68
CC(C)C(N)C(=O)O.[Sm+3], 6.68
CC(C)C(N)C(=O)O.[Sm+3], 5.24
CC(C)C(N)C(=O)O.[Sm+3], 3.9
CC(C)C(N)C(=O)O.[Eu+3], 6.23
CC(C)C(N)C(=O)O.[Eu+3], 3.85
CC(C)C(N)C(=O)O.[Gd+3], 6.03
CC(C)C(N)C(=O)O.[Gd+3], 5.1
CC(C)C(N)C(=O)O.[Gd+3], 5.1
CC(C)C(N)C(=O)O.[Gd+3], 3.96
CC(C)C(N)C(=O)O.[Tb+3], 6.5
CC(C)C(N)C(=O)O.[Tb+3], 4
CC(C)C(N)C(=O)O.[Dy+3], 6.55
CC(C)C(N)C(=O)O.[Dy+3], 4.03
CC(C)C(N)C(=O)O.[Ho+3], 4.1
CC(C)C(N)C(=O)O.[Er+3], 6.03
CC(C)C(N)C(=O)O.[Er+3], 4.19
CC(C)C(N)C(=O)O.[Yb+3], 4.3
CC(C)C(N)C(=O)O.[Lu+3], 4.3
CC(C)C(N)C(=O)O.[Y+3], 4.79
O=C(O)C1CCCN1.[La+3], 4.32
O=C(O)C1CCCN1.[Ce+3], 4.87
O=C(O)C1CCCN1.[Ce+3], 6
O=C(O)C1CCCN1.[Pr+3], 5.22
O=C(O)C1CCCN1.[Nd+3], 5.32
O=C(O)C1CCCN1.[Eu+3], 0.3
O=C(O)C1CCCN1.[Gd+3], 5.58
O=C(O)C1CCCN1.[Dy+3], 5.77
O=C(O)C1CCCN1.[Y+3], 5.4
CC(C)CC(N)C(=O)O.[La+3], 5.27
CC(C)CC(N)C(=O)O.[La+3], 5.61
CC(C)CC(N)C(=O)O.[La+3], 4.59
CC(C)CC(N)C(=O)O.[La+3], 5.61
CC(C)CC(N)C(=O)O.[La+3], 5.25
CC(C)CC(N)C(=O)O.[Ce+3], 5.35
CC(C)CC(N)C(=O)O.[Ce+3], 5.84
CC(C)CC(N)C(=O)O.[Ce+3], 5.03
CC(C)CC(N)C(=O)O.[Ce+3], 5.84
CC(C)CC(N)C(=O)O.[Ce+3], 5.42
CC(C)CC(N)C(=O)O.[Ce+3], 4.69
CC(C)CC(N)C(=O)O.[Pr+3], 5.75
CC(C)CC(N)C(=O)O.[Pr+3], 5.99
CC(C)CC(N)C(=O)O.[Pr+3], 5.25
CC(C)CC(N)C(=O)O.[Pr+3], 5.99
CC(C)CC(N)C(=O)O.[Pr+3], 5.52
CC(C)CC(N)C(=O)O.[Nd+3], 5.97
CC(C)CC(N)C(=O)O.[Nd+3], 6.03
CC(C)CC(N)C(=O)O.[Nd+3], 4.93
CC(C)CC(N)C(=O)O.[Nd+3], 6.03
CC(C)CC(N)C(=O)O.[Nd+3], 5.7
CC(C)CC(N)C(=O)O.[Sm+3], 5.78
CC(C)CC(N)C(=O)O.[Sm+3], 6.18
CC(C)CC(N)C(=O)O.[Sm+3], 5.39
CC(C)CC(N)C(=O)O.[Sm+3], 6.18
CC(C)CC(N)C(=O)O.[Sm+3], 5.89
CC(C)CC(N)C(=O)O.[Eu+3], 6.15
CC(C)CC(N)C(=O)O.[Gd+3], 6.1
CC(C)CC(N)C(=O)O.[Gd+3], 5.21
CC(C)CC(N)C(=O)O.[Tb+3], 6.15
CC(C)CC(N)C(=O)O.[Dy+3], 6.17
CC(C)CC(N)C(=O)O.[Er+3], 6.2
CC(C)CC(N)C(=O)O.[Y+3], 6.09
CC(C)CC(N)C(=O)O.[Y+3], 4.26
CC(O)C(N)C(=O)O.[La+3], 4.86
CC(O)C(N)C(=O)O.[Ce+3], 4.89
CC(O)C(N)C(=O)O.[Pr+3], 4.9
CC(O)C(N)C(=O)O.[Pr+3], 4.67
CC(O)C(N)C(=O)O.[Nd+3], 5.03
CC(O)C(N)C(=O)O.[Nd+3], 5.15
CC(O)C(N)C(=O)O.[Sm+3], 4.98
CC(O)C(N)C(=O)O.[Sm+3], 4.98
CC(O)C(N)C(=O)O.[Eu+3], 5.44
CC(O)C(N)C(=O)O.[Gd+3], 4.64
CC(O)C(N)C(=O)O.[Gd+3], 4.4
CC(O)C(N)C(=O)O.[Gd+3], 4.64
CC(O)C(N)C(=O)O.[Gd+3], 5.21
CC(O)C(N)C(=O)O.[Dy+3], 5.41
CC(O)C(N)C(=O)O.[Ho+3], 5.39
CC(O)C(N)C(=O)O.[Yb+3], 5.53
NC(CO)C(=O)O.[La+3], 4.72
NC(CO)C(=O)O.[La+3], 4.51
NC(CO)C(=O)O.[Ce+3], 5.21
NC(CO)C(=O)O.[Ce+3], 4.86
NC(CO)C(=O)O.[Ce+3], 4.69
NC(CO)C(=O)O.[Pr+3], 4.67
NC(CO)C(=O)O.[Pr+3], 4.8
NC(CO)C(=O)O.[Nd+3], 4.71
NC(CO)C(=O)O.[Nd+3], 5.07
NC(CO)C(=O)O.[Sm+3], 4.92
NC(CO)C(=O)O.[Sm+3], 4.89
NC(CO)C(=O)O.[Sm+3], 5.36
NC(CO)C(=O)O.[Gd+3], 4.66
NC(CO)C(=O)O.[Gd+3], 4.66
NC(CO)C(=O)O.[Y+3], 5.53
NC(CO)C(=O)O.[Y+3], 5.61
[Cl-].[La+3], -0.7
[Cl-].[La+3], -0.39
[Cl-].[La+3], -0.46
[Cl-].[La+3], 0.2
[Cl-].[La+3], -0.22
[Cl-].[La+3], -0.12
[Ce+3].[Cl-], -0.1
[Ce+3].[Cl-], -0.04
[Cl-].[Pr+3], -0.47
[Cl-].[Pr+3], 0.2
[Cl-].[Nd+3], -0.06
[Cl-].[Nd+3], 0.21
[Cl-].[Nd+3], 7.08
[Cl-].[Sm+3], -0.66
[Cl-].[Sm+3], -0.46
[Cl-].[Sm+3], 0.21
[Cl-].[Sm+3], 0.13
[Cl-].[Eu+3], -0.34
[Cl-].[Eu+3], -0.1
[Cl-].[Eu+3], -0.53
[Cl-].[Eu+3], -0.17
[Cl-].[Eu+3], -0.06
[Cl-].[Eu+3], -0.15
[Cl-].[Eu+3], 0.07
[Cl-].[Gd+3], -0.16
[Cl-].[Gd+3], -0.04
[Cl-].[Tb+3], -0.18
[Cl-].[Tb+3], -0.01
[Cl-].[Dy+3], -0.12
[Cl-].[Dy+3], -0.01
[Cl-].[Ho+3], -0.15
[Cl-].[Er+3], -0.13
[Cl-].[Tm+3], -0.14
[Cl-].[Yb+3], -0.14
[Cl-].[Yb+3], -0.56
[Cl-].[Lu+3], -0.14
[Cl-].[Lu+3], -0.48
[Cl-].[Lu+3], -0.35
[Cl-].[Sc+3], 1.07
[Cl-].[Sc+3], -0.24
[Cl-].[Sc+3], -0.12
[Cl-].[Y+3], -0.03
[Cl-].[Y+3], -0.3
[Cl-].[Y+3], 0.36
NCC(=O)NCC(=O)O.[Nd+3], 2.35
NCC(=O)NCC(=O)O.[Eu+3], 2.65
NCC(=O)NCC(=O)O.[Gd+3], 2.35
NCC(=O)NCC(=O)O.[Ho+3], 2.65
NCC(=O)NCC(=O)O.[Yb+3], 2.75
CC(N)C(=O)NCC(=O)O.[Nd+3], 2.3
CC(N)C(=O)NCC(=O)O.[Eu+3], 2.55
CC(N)C(=O)NCC(=O)O.[Gd+3], 2.4
CC(N)C(=O)NCC(=O)O.[Ho+3], 2.45
CC(N)C(=O)NCC(=O)O.[Yb+3], 2.8
[La+3].[OH-], 9
[Ce+3].[OH-], 6.61
[Ce+3].[OH-], 10.6
[OH-].[Pm+3], 10.4
[Eu+3].[OH-], 5
[OH-].[Tb+3], 7.41
[OH-].[Yb+3], 8.43
[OH-].[Sc+3], 9.29
[OH-].[Y+3], 10.5
CC(NC(=O)CN)C(=O)O.[Nd+3], 2.3
CC(NC(=O)CN)C(=O)O.[Eu+3], 2.6
CC(NC(=O)CN)C(=O)O.[Gd+3], 2.4
CC(NC(=O)CN)C(=O)O.[Ho+3], 2.55
CC(NC(=O)CN)C(=O)O.[Yb+3], 2.8
O=C(O)C1(C(=O)O)CCCC1.[Eu+3], 4.17
O=C(O)C1(C(=O)O)CCCC1.[Gd+3], 4.18
O=C(O)C1(C(=O)O)CCCC1.[Tb+3], 4.26
O=C(O)C1(C(=O)O)CCCC1.[Dy+3], 4.29
O=C(O)C1(C(=O)O)CCCC1.[Ho+3], 4.25
O=C(O)C1(C(=O)O)CCCC1.[Er+3], 4.24
O=C(O)C1(C(=O)O)CCCC1.[Tm+3], 4.25
O=C(O)C1(C(=O)O)CCCC1.[Yb+3], 4.26
O=C(O)C1(C(=O)O)CCCC1.[Lu+3], 4.22
O=C(O)CC(=O)O.[La+3], 3.8
O=C(O)CC(=O)O.[La+3], 2.89
O=C(O)CC(=O)O.[La+3], 3.82
O=C(O)CC(=O)O.[La+3], 3.84
O=C(O)CC(=O)O.[La+3], 3.045
O=C(O)CC(=O)O.[La+3], 3.8
O=C(O)CC(=O)O.[La+3], 3.69
O=C(O)CC(=O)O.[La+3], 4.01
O=C(O)CC(=O)O.[La+3], 3.07
O=C(O)CC(=O)O.[Ce+3], 4.11
O=C(O)CC(=O)O.[Ce+3], 4.11
O=C(O)CC(=O)O.[Ce+3], 4.11
O=C(O)CC(=O)O.[Ce+3], 3.83
O=C(O)CC(=O)O.[Ce+3], 3.17
O=C(O)CC(=O)O.[Ce+3], 4.21
O=C(O)CC(=O)O.[Ce+3], 3.23
O=C(O)CC(=O)O.[Pr+3], 4.26
O=C(O)CC(=O)O.[Pr+3], 4.3
O=C(O)CC(=O)O.[Pr+3], 4.26
O=C(O)CC(=O)O.[Pr+3], 3.91
O=C(O)CC(=O)O.[Pr+3], 4.3
O=C(O)CC(=O)O.[Pr+3], 3.27
O=C(O)CC(=O)O.[Nd+3], 4.5
O=C(O)CC(=O)O.[Nd+3], 4.55
O=C(O)CC(=O)O.[Nd+3], 4.5
O=C(O)CC(=O)O.[Nd+3], 3.95
O=C(O)CC(=O)O.[Nd+3], 4.33
