smiles, logK
[H]c1c([H])c2c3c(c1[H])c([H])c([H])c([H])n3->[Fe+2]<-[O-]2, 8.18
[H]c1c([H])c2c3c(c1[H])c([H])c([H])c([H])n3->[Co+2]<-[O-]2, 9.48
[H]c1c([H])c2c3c(c1[H])c([H])c([H])c([H])n3->[Ba+2]<-[O-]2, 2.00
[H]c1c([H])c2c3c(c1[H])c([H])c([H])c([H])n3->[Cr+3]<-[O-]2, 10.08
[H]c1c([H])c2c3c(c1[H])c([H])c([H])c([H])n3->[Pb+2]<-[O-]2, 9.02
[H]c1c([H])c2c3c(c1[H])c([H])c([H])c([H])n3->[In+3]<-[O-]2, 12.57
[H]c1c([H])c2c3c(c1[H])c([H])c([H])c([H])n3->[Ni+2]<-[O-]2, 9.92
[H]c1c([H])c2c3c(c1[H])c([H])c([H])c([H])n3->[Tb+3]<-[O-]2, 8.04
[H]c1c([H])c2c3c(c1[H])c([H])c([H])c([H])n3->[Nd+3]<-[O-]2, 7.33
[H]c1c([H])c2c3c(c1[H])c([H])c([H])c([H])n3->[Ag+]<-[O-]2, 5.42
[H]c1c([H])c2c3c(c1[H])c([H])c([H])c([H])n3->[Pr+3]<-[O-]2, 7.14
[H]c1c([H])c2c3c(c1[H])c([H])c([H])c([H])n3->[Cd+2]<-[O-]2, 7.65
[H]c1c([H])c2c3c(c1[H])c([H])c([H])c([H])n3->[Cu+2]<-[O-]2, 12.52
[H]c1c([H])c2c3c(c1[H])c([H])c([H])c([H])n3->[Yb+3]<-[O-]2, 8.33
[H]c1c([H])c2c3c(c1[H])c([H])c([H])c([H])n3->[Mn+2]<-[O-]2, 6.58
[H]c1c([H])c2c3c(c1[H])c([H])c([H])c([H])n3->[Ca+2]<-[O-]2, 3.27
[H]c1c([H])c2c3c(c1[H])c([H])c([H])c([H])n3->[Tm+3]<-[O-]2, 8.22
[H]c1c([H])c2c3c(c1[H])c([H])c([H])c([H])n3->[Be+2]<-[O-]2, 8.38
[H]c1c([H])c2c3c(c1[H])c([H])c([H])c([H])n3->[Er+3]<-[O-]2, 8.13
[H]c1c([H])c2c3c(c1[H])c([H])c([H])c([H])n3->[Ho+3]<-[O-]2, 8.08
[H]c1c([H])c2c3c(c1[H])c([H])c([H])c([H])n3->[La+3]<-[O-]2, 6.54
[H]c1c([H])c2c3c(c1[H])c([H])c([H])c([H])n3->[Gd+3]<-[O-]2, 7.82
[H]c1c([H])c2c3c(c1[H])c([H])c([H])c([H])n3->[Sm+3]<-[O-]2, 7.61
[H]c1c([H])c2c3c(c1[H])c([H])c([H])c([H])n3->[Dy+3]<-[O-]2, 8.21
[H]c1c([H])n([H])n(->[Zn+2])c1[H], 1.11
[H]c1c([H])n([H])n(->[Ni+2])c1[H], 1.86
[H]c1c([H])n([H])n(->[Co+2])c1[H], 1.37
[H]c1c([H])n([H])n(->[Cu+2])c1[H], 2.37
[H]c1c([H])n([H])n(->[Ag+])c1[H], 2.04
[H]c1c([H])n([H])n(->[Mn+2])c1[H], 0.43
[H]c1c([H])n([H])n(->[Fe+2])c1[H], 0.84
[H]c1c([H])n([H])n(->[Cd+2])c1[H], 1.19
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[Zn+2]<-[O-]2, 11.88
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[La+3]<-[O-]2, 15.79
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[Mg+2]<-[O-]2, 8.66
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[Ca+2]<-[O-]2, 7.60
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[Hg+2]<-[O-]2, 21.66
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[Cu+2]<-[O-]2, 16.12
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[Ho+3]<-[O-]2, 17.20
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[Sm+3]<-[O-]2, 17.07
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[Gd+3]<-[O-]2, 16.83
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[U+2]<-[O-]2, 17.70
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[Tm+3]<-[O-]2, 17.25
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[Ba+2]<-[O-]2, 5.90
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[Pr+3]<-[O-]2, 16.43
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[In+3]<-[O-]2, 20.42
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[Ce+3]<-[O-]2, 16.29
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[Lu+3]<-[O-]2, 16.92
[H]c1c2c(c(S(=O)(=O)[O-])c([H])c1S(=O)(=O)[O-])[O-]->[Sr+2]<-[O-]2, 6.35
