smiles, logK
[Sm+3].OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O, 16.53
[Tm+3].OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O, 18.64
[Yb+3].OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O, 18.99
[Ce+3].OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O, 16.03
[Gd+3].OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O, 17.7
[Ce+3].OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O, 15.65
[Eu+3].OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O, 17.03
[Nd+3].OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O, 16
[Sm+3].OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O, 16.92
[Eu+3].OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O, 16.23
[Eu+3].Nc1ncnc2n(cnc12)C3OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C3O, 6.23
[Eu+3].Nc1ncnc2n(cnc12)C3OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C3O, 6.31
[Dy+3].Nc1ncnc2n(cnc12)C3OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C3O, 6.37
[Gd+3].Nc1ncnc2n(cnc12)C3OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C3O, 5.86
[Nd+3].Nc1ncnc2n(cnc12)C3OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C3O, 6.23
[Tm+3].Nc1ncnc2n(cnc12)C3OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C3O, 6.45
[Eu+3].Nc1ncnc2n(cnc12)C3OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C3O, 6.63
[Dy+3].Nc1ncnc2n(cnc12)C3OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C3O, 6.44
[Er+3].Nc1ncnc2n(cnc12)C3OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C3O, 6.47
[Gd+3].Nc1ncnc2n(cnc12)C3OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C3O, 6.52
